STATE_FDID,STATE,FDID,DEPT_NAME,DEPT_TYPE,TOTAL_INCIDENTS,FIRE_INCIDENTS,STRUCTURE_FIRES,EMS_INCIDENTS,RESPONSE_TIME_AVG,CONTAINMENT_RATE,PROP_LOSS_ADJ,PROP_LOSS_USD,TOTAL_FF,FF_PER_1000_INC,STATIONS,STA_PER_1000,CAREER_PCT,CIV_CAS_PER_1000,FF_INJ_PER_1000,DATA_QUALITY,PEER_GROUP,RESP_NP,CONT_NP,PL_NP,FF1000_NP,RESP_PP,CONT_PP,PL_PP,FF1000_PP
CO-3525,CO,3525,FRANKTOWN FPD,Volunteer,82,26,12,0,19.1899,33.3333,,0.0,62,756.0976,3,36.5854,19.3548,38.4615,38.4615,100,XS,40.8065,39.1038,,81.4181,42.0634,40.5231,,80.7627
CO-12324,CO,12324,FREDERICKFIRESTONE FPD,Volunteer,246,61,20,0,10.8773,70.0,0.0026,30.0,42,170.7317,2,8.1301,23.8095,49.1803,49.1803,100,XS,83.9266,79.274,97.8261,51.7229,84.8876,79.1494,97.7025,50.8738
CO-12342,CO,12342,Front Range Fire Rescue,Volunteer,160,59,23,0,17.5714,71.4286,7.2371,803000.0,31,193.75,2,12.5,19.3548,16.9492,0.0,100,XS,48.3454,80.0755,76.9646,53.3832,49.7608,79.8611,78.13,52.4297
CO-12327,CO,12327,GALETON FPD,Volunteer,77,49,13,0,22.9123,20.0,,0.0,16,207.7922,1,12.987,0.0,0.0,61.2245,100,XS,26.0456,27.5121,,54.4611,26.9107,28.6657,,53.4557
CO-4520,CO,4520,GLENWOOD SPRINGS FD,Career,133,40,13,0,13.6797,81.8182,91.3643,41251.0,30,225.5639,3,22.5564,60.0,0.0,0.0,100,XS,69.1491,85.7819,19.1196,55.7295,70.5591,85.3303,20.3432,54.679
CO-5942,CO,5942,GOLDEN FD,Volunteer,119,54,20,0,15.3475,90.0,1.4801,246200.0,62,521.0084,4,33.6134,12.9032,0.0,129.6296,100,XS,59.9221,87.7294,90.5077,72.9831,61.4813,87.2616,90.6791,72.0672
CO-4915,CO,4915,GRAND FPD1,Volunteer,43,20,12,0,36.6744,66.6667,5.3404,103000.0,36,837.2093,1,23.2558,0.0,0.0,0.0,100,XS,2.7586,76.1741,80.3268,83.6119,2.8588,76.1401,81.3436,83.0346
CO-4530,CO,4530,GRAND VALLEY FPD,Volunteer,58,34,6,0,29.5536,66.6667,,300.0,40,689.6552,3,51.7241,0.0,0.0,0.0,100,XS,9.5884,76.1741,,79.2923,9.9251,76.1401,,78.567
CO-3720,CO,3720,GREATER EAGLE FPD,Volunteer,67,31,8,0,18.2121,33.3333,6.6201,35100.0,32,477.6119,1,14.9254,28.125,0.0,0.0,100,XS,45.3726,39.1038,78.0583,71.0207,46.732,40.5231,79.2206,70.0575
CO-5120,CO,5120,GUNNISON VFD,Volunteer,80,34,18,0,29.88,42.8571,,0.0,41,512.5,1,12.5,2.439,0.0,0.0,100,XS,9.0823,48.5527,,72.5367,9.4006,49.9102,,71.6049
